VM Count: 1000 arrivalLamda: 0.4 PM type: 3 cpuChangePeriod: 5
Repeat	arrivalLamdaGroup	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
6	0.8	OSER	639.33094	1100.55644		132.00000	0.00000	168.00000	1.06100
7	0.8	ecoCloud	773.56656	3135.40880		224.00000	0.05357	11.00000	0.01700
7	0.8	KMIMPCU	705.65534	1101.52849		59.00000	0.05085	2051.00000	7.69000
7	0.8	AFEDEF	487.13719	945.47093		88.00000	0.04545	593.00000	3.30200
7	0.8	OSER	480.48818	974.67639		114.00000	0.00000	127.00000	1.01500
8	0.8	ecoCloud	765.69262	3209.70620		213.00000	0.06103	17.00000	0.01900
8	0.8	KMIMPCU	526.16336	1471.04692		56.00000	0.03571	1410.00000	7.04900
8	0.8	AFEDEF	539.40970	872.04902		69.00000	0.02899	508.00000	3.75900
8	0.8	OSER	598.54298	1020.28891		121.00000	0.00826	143.00000	0.95300
9	0.8	ecoCloud	888.07836	2494.46960		202.00000	0.06931	11.00000	0.01500
9	0.8	KMIMPCU	522.07654	1106.80372		36.00000	0.02778	1275.00000	6.21800
9	0.8	AFEDEF	671.38172	1124.84515		114.00000	0.03509	1028.00000	3.43600
9	0.8	OSER	484.00120	1073.68362		112.00000	0.00893	141.00000	1.05100
Average:	0.8	ecoCloud	835.45643	2645.32173	208.00000	0.05024	10.60000	0.01870
Average:	0.8	KMIMPCU	578.53658	1101.78584	50.70000	0.02449	1291.70000	6.96510
Average:	0.8	AFEDEF	611.01370	1331.14647	88.80000	0.02737	733.00000	5.00950
Average:	0.8	OSER	516.71385	1008.79677	118.90000	0.00255	137.30000	1.01660
0	1.2	ecoCloud	873.76521	2620.09485		175.00000	0.05143	9.00000	0.02800
0	1.2	KMIMPCU	565.34550	2844.17555		58.00000	0.00000	1616.00000	3.95500
0	1.2	AFEDEF	612.91058	1195.79364		89.00000	0.01124	681.00000	11.72700
0	1.2	OSER	502.44797	1051.53437		167.00000	0.00000	244.00000	2.29400
1	1.2	ecoCloud	890.39103	2364.99082		145.00000	0.03448	4.00000	0.01800
1	1.2	KMIMPCU	535.02158	1036.16567		66.00000	0.06061	1492.00000	3.47400
1	1.2	AFEDEF	752.23544	1223.40787		83.00000	0.02410	597.00000	1.50000
1	1.2	OSER	660.23143	1066.28882		164.00000	0.00000	237.00000	2.53000
2	1.2	ecoCloud	744.64938	3092.07725		166.00000	0.08434	2.00000	0.02800
2	1.2	KMIMPCU	477.00168	929.39463		73.00000	0.04110	945.00000	1.97200
2	1.2	AFEDEF	654.23375	1015.39219		91.00000	0.03297	747.00000	3.35900
2	1.2	OSER	520.54434	1107.26953		163.00000	0.00000	230.00000	2.46000
3	1.2	ecoCloud	776.68836	2165.57571		171.00000	0.05263	5.00000	0.02300
3	1.2	KMIMPCU	626.56742	1030.63733		62.00000	0.08065	2104.00000	4.63800
3	1.2	AFEDEF	569.69539	993.57073		70.00000	0.05714	483.00000	2.71600
3	1.2	OSER	497.51024	822.16141		140.00000	0.00000	210.00000	2.40500
4	1.2	ecoCloud	905.78744	2370.07483		165.00000	0.03030	4.00000	0.01400
4	1.2	KMIMPCU	552.02572	915.85680		61.00000	0.01639	984.00000	1.70500
4	1.2	AFEDEF	672.16502	1088.50302		74.00000	0.02703	736.00000	2.23600
4	1.2	OSER	534.14166	1038.99496		144.00000	0.00000	222.00000	1.91400
5	1.2	ecoCloud	844.17061	2909.32042		140.00000	0.05714	9.00000	0.03200
5	1.2	KMIMPCU	638.17502	1735.69987		49.00000	0.02041	4304.00000	5.40300
5	1.2	AFEDEF	463.67606	923.74863		71.00000	0.00000	526.00000	1.70700
5	1.2	OSER	533.29965	943.75658		140.00000	0.00000	191.00000	2.32700
6	1.2	ecoCloud	797.96378	2447.52421		138.00000	0.05797	0.00000	0.02400
6	1.2	KMIMPCU	618.23529	1297.63777		49.00000	0.04082	2992.00000	14.02400
6	1.2	AFEDEF	480.16348	1164.58935		80.00000	0.05000	648.00000	5.97000
6	1.2	OSER	499.17114	1011.64550		152.00000	0.00000	219.00000	2.01800
7	1.2	ecoCloud	940.33256	2062.64508		168.00000	0.05357	4.00000	0.02100
7	1.2	KMIMPCU	521.27677	1101.50607		57.00000	0.05263	972.00000	2.27100
7	1.2	AFEDEF	454.88464	858.55388		83.00000	0.02410	483.00000	1.38100
7	1.2	OSER	612.78771	1087.70016		169.00000	0.00000	225.00000	1.95800
8	1.2	ecoCloud	720.84322	2224.84010		136.00000	0.04412	4.00000	0.02600
8	1.2	KMIMPCU	615.02643	1131.47355		56.00000	0.03571	960.00000	2.84100
8	1.2	AFEDEF	777.93640	1139.27576		91.00000	0.06593	589.00000	1.54400
8	1.2	OSER	625.39352	963.51149		165.00000	0.00000	240.00000	2.34000
9	1.2	ecoCloud	921.15816	2347.11660		154.00000	0.04545	4.00000	0.01900
9	1.2	KMIMPCU	567.76672	759.58716		56.00000	0.03571	5856.00000	9.77800
9	1.2	AFEDEF	572.17135	758.25394		87.00000	0.02299	557.00000	1.18700
9	1.2	OSER	511.57603	1286.27417		150.00000	0.00000	183.00000	1.91200
Average:	1.2	ecoCloud	841.57498	2460.42599	155.80000	0.05114	4.50000	0.02330
Average:	1.2	KMIMPCU	571.64421	1278.21344	58.70000	0.03840	2222.50000	5.00610
Average:	1.2	AFEDEF	601.00721	1036.10890	81.90000	0.03155	604.70000	3.33270
Average:	1.2	OSER	549.71037	1037.91370	155.40000	0.00000	220.10000	2.21580
0	1.6	ecoCloud	865.35748	3034.25310		122.00000	0.02459	3.00000	0.03000
0	1.6	KMIMPCU	629.09542	1314.81807		58.00000	0.03448	1315.00000	1.38700
0	1.6	AFEDEF	660.57684	2942.17268		133.00000	0.00752	1360.00000	6.86300
0	1.6	OSER	645.81560	1216.15369		169.00000	0.00000	273.00000	2.90700
1	1.6	ecoCloud	853.64331	2196.53355		123.00000	0.05691	2.00000	0.11000
1	1.6	KMIMPCU	733.27251	908.43065		84.00000	0.00000	512.00000	0.77500
1	1.6	AFEDEF	637.14381	978.64086		78.00000	0.02564	484.00000	1.99900
1	1.6	OSER	461.24105	1099.19358		161.00000	0.00000	242.00000	2.44700
2	1.6	ecoCloud	881.15758	2810.16251		123.00000	0.04878	0.00000	0.03000
2	1.6	KMIMPCU	762.16931	1415.79975		72.00000	0.02778	1272.00000	2.83900
2	1.6	AFEDEF	594.58063	1183.17223		106.00000	0.00000	674.00000	1.76200
2	1.6	OSER	631.55706	1241.13915		203.00000	0.00000	318.00000	4.49000
3	1.6	ecoCloud	732.31927	2341.69533		120.00000	0.04167	2.00000	0.11800
3	1.6	KMIMPCU	532.01031	948.78506		58.00000	0.03448	869.00000	1.60500
3	1.6	AFEDEF	409.41881	932.17426		72.00000	0.01389	503.00000	2.11300
3	1.6	OSER	611.57394	961.46604		134.00000	0.00000	222.00000	2.97900
4	1.6	ecoCloud	880.21089	2998.62534		131.00000	0.06107	0.00000	0.02500
4	1.6	KMIMPCU	511.63144	1461.61009		71.00000	0.01408	1287.00000	2.29900
4	1.6	AFEDEF	511.77857	1275.50717		111.00000	0.00000	754.00000	3.20900
4	1.6	OSER	534.41462	1426.25198		175.00000	0.00571	262.00000	3.59800
